Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Keanu Neal DB - PIT,Keanu Neal,DB,PIT,SF,FA,2.0,3.0,,,,,,,,,,,,,,,3.5
Isaiah Oliver DB - SF,Isaiah Oliver,DB,SF,@PIT,FA,2.0,3.0,,,,,,,,,,,,,,,3.5
Adrian Phillips DB - NE,Adrian Phillips,DB,NE,PHI,FA,3.0,1.0,,,,,,,,,,,,,,,3.5
Justin Simmons DB - DEN Q View News,Justin Simmons,DB,DEN,LV,Washington Fantasy Team,3.0,1.0,,,,,,,,,,,,,,,3.5
Harrison Smith DB - MIN,Harrison Smith,DB,MIN,TB,Alta Villa Cardinals,3.0,1.0,,,,,,,,,,,,,,,3.5
Benjamin St-Juste DB - WAS,Benjamin,St,Juste,ARI,FA,3.0,1.0,,,,,,,,,,,,,,,3.5
Percy Butler DB - WAS Q,Percy Butler,DB,WAS,ARI,FA,1.0,2.0,,,,,,,,,,,,1.0,,,3.0
Kei'Trel Clark DB - ARI,Kei'Trel Clark,DB,ARI,@WAS,FA,3.0,,,,,,,,,,,,,,,,3.0
Cobie Durant DB - LA,Cobie Durant,DB,LA,@SEA,FA,1.0,,,,,,,,,,,,,,1.0,,3.0
C.J. Henderson DB - CAR,C.J. Henderson,DB,CAR,@ATL,FA,3.0,,,,,,,,,,,,,,,,3.0
Kenny Moore II DB - IND,Kenny Moore II,DB,IND,JAX,FA,3.0,,,,,,,,,,,,,,,,3.0
Israel Mukuamu DB - DAL,Israel Mukuamu,DB,DAL,@NYG,FA,,,,,,,1.0,,,,,,,,,,3.0
Jonathan Owens DB - GB,Jonathan Owens,DB,GB,@CHI,W (Oct 4),3.0,,,,,,,,,,,,,,,,3.0
Marcus Peters DB - LV,Marcus Peters,DB,LV,@DEN,FA,3.0,,,,,,,,,,,,,,,,3.0
Patrick Peterson DB - PIT,Patrick Peterson,DB,PIT,SF,FA,,2.0,,,,,,,,,,,,2.0,,,3.0
Derek Stingley Jr. DB - HOU IR,Derek Stingley Jr.,DB,HOU,@BAL,FA,3.0,,,,,,,,,,,,,,,,3.0
Rodney Thomas DB - IND,Rodney Thomas,DB,IND,JAX,FA,3.0,,,,,,,,,,,,,,,,3.0
Deonte Banks DB - NYG,Deonte Banks,DB,NYG,DAL,FA,,1.0,,,,,,,,,,,,2.0,,,2.5
Vonn Bell DB - CAR,Vonn Bell,DB,CAR,@ATL,St Quintin Heidschnucken,2.0,1.0,,,,,,,,,,,,,,,2.5
Khalil Dorsey DB - DET IR,Khalil Dorsey,DB,DET,@KC,W (Oct 4),2.0,1.0,,,,,,,,,,,,,,,2.5
Terrell Edmunds DB - PHI,Terrell Edmunds,DB,PHI,@NE,FA,2.0,1.0,,,,,,,,,,,,,,,2.5
Rudy Ford DB - GB,Rudy Ford,DB,GB,@CHI,W (Oct 4),1.0,3.0,,,,,,,,,,,,,,,2.5
Sauce Gardner DB - NYJ,Sauce Gardner,DB,NYJ,BUF,GLADIATORS of NORSCHT,2.0,1.0,,,,,,,,,,,,,,,2.5
Kyle Hamilton DB - BAL Q View News,Kyle Hamilton,DB,BAL,HOU,Koblenz 87ers,2.0,1.0,,,,,,,,,,,,,,,2.5
Mike Hilton DB - CIN,Mike Hilton,DB,CIN,@CLE,FA,1.0,3.0,,,,,,,,,,,,,,,2.5
Jaylon Johnson DB - CHI O View News,Jaylon Johnson,DB,CHI,GB,FA,2.0,1.0,,,,,,,,,,,,,,,2.5
Levi Wallace DB - PIT,Levi Wallace,DB,PIT,SF,FA,2.0,1.0,,,,,,,,,,,,,,,2.5
Adrian Amos DB - NYJ,Adrian Amos,DB,NYJ,BUF,FA,2.0,,,,,,,,,,,,,,,,2.0
Nick Cross DB - IND,Nick Cross,DB,IND,JAX,FA,2.0,,,,,,,,,,,,,,,,2.0
Kristian Fulton DB - TEN,Kristian Fulton,DB,TEN,@NO,FA,2.0,,,,,,,,,,,,,,,,2.0
Innis Gaines DB - GB,Innis Gaines,DB,GB,@CHI,W (Oct 4),2.0,,,,,,,,,,,,,,,,2.0
Shaquill Griffin DB - HOU,Shaquill Griffin,DB,HOU,@BAL,FA,2.0,,,,,,,,,,,,,,,,2.0
Jonathan Jones DB - NE Q View News,Jonathan Jones,DB,NE,PHI,Bad Wildcats Hunschat,1.0,,,,,,,,,,,,,1.0,,,2.0
Zyon McCollum DB - TB,Zyon McCollum,DB,TB,@MIN,FA,2.0,,,,,,,,,,,,,,,,2.0
DJ Turner II DB - CIN Q,DJ Turner II,DB,CIN,@CLE,FA,2.0,,,,,,,,,,,,,,,,2.0
Darious Williams DB - JAX,Darious Williams,DB,JAX,@IND,FA,1.0,,,,,,,,,,,,,1.0,,,2.0
Joshua Williams DB - KC,Joshua Williams,DB,KC,DET,FA,2.0,,,,,,,,,,,,,,,,2.0
Ahkello Witherspoon DB - LA,Ahkello Witherspoon,DB,LA,@SEA,FA,2.0,,,,,,,,,,,,,,,,2.0
Isaac Yiadom DB - NO,Isaac Yiadom,DB,NO,TEN,FA,1.0,,,,,,,,,,,,,1.0,,,2.0
Marcus Jones DB - NE IR,Marcus Jones,DB,NE,PHI,FA,,1.0,,,,,1.0,,,,,,,,,,1.55
Essang Bassey DB - DEN,Essang Bassey,DB,DEN,LV,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Josh Blackwell DB - CHI IR View News,Josh Blackwell,DB,CHI,GB,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Quandre Diggs DB - SEA Q,Quandre Diggs,DB,SEA,LA,Koblenz 87ers,,3.0,,,,,,,,,,,,,,,1.5
Mike Edwards DB - KC,Mike Edwards,DB,KC,DET,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Tashaun Gipson DB - SF,Tashaun Gipson,DB,SF,@PIT,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Miles Killebrew DB - PIT,Miles Killebrew,DB,PIT,SF,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Asante Samuel Jr. DB - LAC,Asante Samuel Jr.,DB,LAC,MIA,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Geno Stone DB - BAL,Geno Stone,DB,BAL,HOU,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Xavier Woods DB - CAR O,Xavier Woods,DB,CAR,@ATL,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Tariq Woolen DB - SEA,Tariq Woolen,DB,SEA,LA,Slay,1.0,1.0,,,,,,,,,,,,,,,1.5
Russ Yeast DB - LA,Russ Yeast,DB,LA,@SEA,FA,1.0,1.0,,,,,,,,,,,,,,,1.5
Ugo Amadi DB - NO,Ugo Amadi,DB,NO,TEN,FA,,,,,,,,,,,,,,1.0,,,1.0
Sydney Brown DB - PHI O View News,Sydney Brown,DB,PHI,@NE,FA,1.0,,,,,,,,,,,,,,,,1.0
Martin Emerson DB - CLE,Martin Emerson,DB,CLE,CIN,FA,1.0,,,,,,,,,,,,,,,,1.0
Mike Ford DB - CLE,Mike Ford,DB,CLE,CIN,FA,1.0,,,,,,,,,,,,,,,,1.0
Sam Franklin Jr. DB - CAR,Sam Franklin Jr.,DB,CAR,@ATL,FA,1.0,,,,,,,,,,,,,,,,1.0
Dane Jackson DB - BUF,Dane Jackson,DB,BUF,@NYJ,FA,1.0,,,,,,,,,,,,,,,,1.0
Donte Jackson DB - CAR,Donte Jackson,DB,CAR,@ATL,FA,1.0,,,,,,,,,,,,,,,,1.0
