Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Shaun Bradley LB - PHI IR,Shaun Bradley,LB,PHI,GB,FA,1.0,,,,,,,,,,,,,,,,0.0
K.J. Britt LB - TB,K.J. Britt,LB,TB,@CLE,FA,,,,,,,,,,,,,,,,,0.0
Jordyn Brooks LB - SEA,Jordyn Brooks,LB,SEA,LV,Washington Fantasy Team,7.0,9.0,,,,,,,,,,,,1.0,,,0.0
Cameron Brown LB - NYG,Cameron Brown,LB,NYG,@DAL,FA,,,,,,,,,,,,,,,,,0.0
Baron Browning LB - DEN PUP,Baron Browning,LB,DEN,@CAR,FA,,1.0,,,,,,,,,,,,,,,0.0
Oren Burks LB - SF,Oren Burks,LB,SF,NO,FA,,1.0,,,,,,,,,,,,,,,0.0
Amari Burney LB - LV,Amari Burney,LB,LV,Bye,FA,,,,,,,,,,,,,,,,,0.0
Devin Bush LB - SEA,Devin Bush,LB,SEA,LV,FA,2.0,6.0,,,,,,,,,,,,1.0,,,0.0
Darien Butler LB - LV IR,Darien Butler,LB,LV,Bye,FA,,,,,,,,,,,,,,,,,0.0
Chance Campbell LB - TEN,Chance Campbell,LB,TEN,CIN,FA,,,,,,,,,,,,,,,,,0.0
De'Vondre Campbell LB - GB IA,De'Vondre Campbell,LB,GB,@PHI,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Jack Campbell LB - DET,Jack Campbell,LB,DET,Bye,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Owen Carney LB,Owen Carney,LB,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Jermaine Carter LB,Jermaine Carter,LB,,TB,FA,,,,,,,,,,,,,,,,,0.0
Lorenzo Carter LB - ATL,Lorenzo Carter,LB,ATL,@WAS,FA,2.0,1.0,,,,,,,,,,,,,,,0.0
K'Lavon Chaisson LB - JAX,K'Lavon Chaisson,LB,JAX,BAL,FA,,,,,,,,,,,,,,,,,0.0
Leo Chenal LB - KC,Leo Chenal,LB,KC,LA,FA,,1.0,,,,,,,,,,,,,,,0.0
Cole Christiansen LB - KC,Cole Christiansen,LB,KC,LA,FA,,,,,,,,,,,,,,,,,0.0
Bradley Chubb LB - MIA,Bradley Chubb,LB,MIA,HOU,Bad Wildcats Hunschat,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,0.0
Damone Clark LB - DAL,Damone Clark,LB,DAL,NYG,FA,6.0,1.0,,,,1.0,,,,,,,,,,,0.0
Frank Clark LB - DEN O View News,Frank Clark,LB,DEN,LA,FA,,,,,,,,,,,,,,,,,0.0
