Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Lil'Jordan Humphrey WR - DEN,Lil'Jordan Humphrey,WR,DEN,LV,FA,,,,,,,,,,,,,,,,0.0
Xavier Hutchinson WR - HOU,Xavier Hutchinson,WR,HOU,Bye,FA,,,,,,,,,,,,,,,,0.0
Jalin Hyatt WR - NYG,Jalin Hyatt,WR,NYG,Bye,FA,,,,,,,,,,,,,,,,0.0
Andrei Iosivas WR - CIN,Andrei Iosivas,WR,CIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Trenton Irwin WR - CIN,Trenton Irwin,WR,CIN,@PIT,FA,,,,,,,3.0,42.0,1.0,,,,,,,0.0
Andy Isabella WR - BUF,Andy Isabella,WR,BUF,CAR,FA,,,,,,,,,,,,,,,,0.0
DeSean Jackson WR,DeSean Jackson,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Kearis Jackson WR - TEN IR,Kearis Jackson,WR,TEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Lucky Jackson WR - MIN,Lucky Jackson,WR,MIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Shedrick Jackson WR - CIN,Shedrick Jackson,WR,CIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Trishton Jackson WR - MIN,Trishton Jackson,WR,MIN,DAL,FA,,,,,,,,,,,,,,,,0.0
Richie James WR - KC IR,Richie James,WR,KC,DET,FA,,,,,,,,,,,,,,,,0.0
Sam James WR,Sam James,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Rakim Jarrett WR - TB,Rakim Jarrett,WR,TB,Bye,FA,,,,,,,,,,,,,,,,0.0
Justin Jefferson WR - MIN,Justin Jefferson,WR,MIN,DAL,Alta Villa Cardinals,,,,,,,3.0,33.0,,,,,,,,0.0
Van Jefferson WR - LA,Van Jefferson,WR,LA,@NO,FA,,,,,,,3.0,41.0,,,,,,,,0.0
Jaray Jenkins WR Q,Jaray Jenkins WR,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
Gary Jennings WR,Gary Jennings,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jauan Jennings WR - SF D View News,Jauan Jennings,WR,SF,@ARI,FA,,,,,,,,,,,,,,,,0.0
Jerry Jeudy WR - DEN View News,Jerry Jeudy,WR,DEN,LV,Magic Eulers,,,,,,,,,,,,,,,,0.0
Cade Johnson WR - SEA,Cade Johnson,WR,SEA,Bye,FA,,,,,,,,,,,,,,,,0.0
Cephus Johnson III WR - TB,Cephus Johnson III,WR,TB,Bye,FA,,,,,,,,,,,,,,,,0.0
Collin Johnson WR,Collin Johnson,WR,,DET,FA,,,,,,,,,,,,,,,,0.0
Diontae Johnson WR - PIT IR,Diontae Johnson,WR,PIT,CIN,Slay,,,,,1.0,,4.0,21.0,,,,,,,,0.0
Johnny Johnson III WR - HOU,Johnny Johnson III,WR,HOU,Bye,FA,,,,,,,,,,,,,,,,0.0
KeeSean Johnson WR,KeeSean Johnson,WR,,CLE,FA,,,,,,,,,,,,,,,,0.0
Tyler Johnson WR - LA,Tyler Johnson,WR,LA,@DEN,FA,,,,,,,,,,,,,,,,0.0
Tyron Johnson WR - DAL,Tyron Johnson,WR,DAL,@ARI,FA,,,,,,,,,,,,,,,,0.0
Quentin Johnston WR - LAC,Quentin Johnston,WR,LAC,Bye,Slay,,,,,,,,,,,,,,,,0.0
Charlie Jones WR - CIN IR View News,Charlie Jones,WR,CIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Marvin Jones WR - DET View News,Marvin Jones,WR,DET,@NYG,W (Oct 4),,,,,,,,,,,,,,,,0.0
Tim Jones WR - JAX,Tim Jones,WR,JAX,Bye,FA,,,,,,,,,,,,,,,,0.0
Velus Jones Jr. WR - CHI,Velus Jones Jr.,WR,CHI,@ATL,FA,,,,,,,,,,55.0,,,,,,0.0
Zay Jones WR - JAX O,Zay Jones,WR,JAX,Bye,Koblenz 87ers,,,,,,,,,,,,,,,,0.0
Jerome Kapp WR,Jerome Kapp,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Marcus Kemp WR,Marcus Kemp,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tom Kennedy WR Q,Tom Kennedy WR,Q,,@NYG,FA,,,,,,,1.0,13.0,,,,,,,,0.0
Johnny King WR,Johnny King,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Mason Kinsey WR - TEN,Mason Kinsey,WR,TEN,@GB,FA,,,,,,,,,,,,,,,,0.0
Christian Kirk WR - JAX,Christian Kirk,WR,JAX,Bye,dirty birds,,,,,,,,,,,,,,,,0.0
Keith Kirkwood WR - NO,Keith Kirkwood,WR,NO,Bye,FA,,,,,,,,,,,,,,,,0.0
Malik Knowles WR - MIN NFI-R,Malik Knowles,WR,MIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Cooper Kupp WR - LA IR View News,Cooper Kupp,WR,LA,@NO,Koblenz 87ers,,,,,,,,,,,,,,,,0.0
Chris Lacy WR Q,Chris Lacy WR,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
CeeDee Lamb WR - DAL,CeeDee Lamb,WR,DAL,@MIN,Slay,,,,,,,5.0,45.0,,,,,,,,0.0
Kwamie Lassiter II WR - CIN,Kwamie Lassiter II,WR,CIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Allen Lazard WR - NYJ,Allen Lazard,WR,NYJ,@NE,FA,,,,,,,5.0,57.0,,,,,,,,0.0
Ed Lee WR,Ed Lee,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyjon Lindsey WR - SEA,Tyjon Lindsey,WR,SEA,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Lockett WR - SEA,Tyler Lockett,WR,SEA,Bye,Bad Wildcats Hunschat,,,,,,,,,,,,,,,,0.0
Drake London WR - ATL,Drake London,WR,ATL,CHI,Alta Villa Cardinals,,,,,,,1.0,2.0,1.0,,,,,,,0.0
T.J. Luther WR - NE,T.J. Luther,WR,NE,Bye,FA,,,,,,,,,,,,,,,,0.0
Garett Maag WR,Garett Maag,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Xavier Malone WR - ATL,Xavier Malone,WR,ATL,Bye,FA,,,,,,,,,,,,,,,,0.0
Terrace Marshall Jr. WR - CAR,Terrace Marshall Jr.,WR,CAR,@BAL,FA,,,,,,,3.0,76.0,,,,,,,,0.0
Tay Martin WR - SF,Tay Martin,WR,SF,Bye,FA,,,,,,,,,,,,,,,,0.0
Jesse Matthews WR - HOU IR,Jesse Matthews,WR,HOU,Bye,FA,,,,,,,,,,,,,,,,0.0
Jordan Matthews WR,Jordan Matthews,WR,,@ARI,FA,,,,,,,,,,,,,,,,0.0
Ray-Ray McCloud WR - SF,Ray,,Ray,@ARI,FA,,,,,,,,,,13.0,,,,,,0.0
Cameron McCutcheon WR - LA,Cameron McCutcheon,WR,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
Lance McCutcheon WR - HOU,Lance McCutcheon,WR,HOU,@NO,FA,,,,,,,,,,,,,,,,0.0
Kyric McGowan WR Q,Kyric McGowan WR,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
Isaiah McKenzie WR - IND,Isaiah McKenzie,WR,IND,PHI,FA,,,,,,,,,,,,,,,,0.0
Terry McLaurin WR - WAS,Terry McLaurin,WR,WAS,@HOU,Washington Fantasy Team,,,,,1.0,,4.0,55.0,,,,,,,,0.0
Racey McMath WR - IND,Racey McMath,WR,IND,@GB,FA,,,,,,,,,,,,,,,,0.0
Bo Melton WR - GB,Bo Melton,WR,GB,TEN,W (Oct 4),,,,,,,,,,,,,,,,0.0
Kirk Merritt WR,Kirk Merritt,WR,,LA,FA,,,,,,,,,,,,,,,,0.0
DK Metcalf WR - SEA View News,DK Metcalf,WR,SEA,Bye,dirty birds,,,,,,,,,,,,,,,,0.0
John Metchie III WR - HOU,John Metchie III,WR,HOU,WAS,FA,,,,,,,,,,,,,,,,0.0
Jakobi Meyers WR - LV,Jakobi Meyers,WR,LV,@DEN,Washington Fantasy Team,,,,,,,4.0,52.0,,,,,,,,0.0
Anthony Miller WR,Anthony Miller,WR,,CIN,FA,,,,,,,,,,,,,,,,0.0
Dre Miller WR,Dre Miller,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Ryan Miller WR - TB,Ryan Miller,WR,TB,Bye,FA,,,,,,,,,,,,,,,,0.0
Scott Miller WR - ATL,Scott Miller,WR,ATL,CHI,FA,,,,,,,,,,,,,,,,0.0
Dax Milne WR - WAS IR,Dax Milne,WR,WAS,@HOU,FA,,,,,,,,,,22.0,,,,,,0.0
Denzel Mims WR Q,Denzel Mims WR,Q,,@NE,FA,,,,,,,2.0,35.0,,,,,,,,0.0
Marvin Mims Jr. WR - DEN,Marvin Mims Jr.,WR,DEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Jonathan Mingo WR - CAR Q View News,Jonathan Mingo,WR,CAR,Bye,FA,,,,,,,,,,,,,,,,0.0
