Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Pharaoh Brown TE - NE,Pharaoh Brown,TE,NE,JAX,FA,,,,,,,2.0,21.0,,,,,,,,0.0
Harrison Bryant TE - CLE,Harrison Bryant,TE,CLE,NE,FA,,,,,,,3.0,18.0,,,,,,,,0.0
Matt Bushman TE - KC,Matt Bushman,TE,KC,BUF,FA,,,,,,,,,,,,,,,,0.0
Lawrence Cager TE - NYG,Lawrence Cager,TE,NYG,BAL,FA,,,,,,,,,,,,,,,,0.0
Grant Calcaterra TE - PHI,Grant Calcaterra,TE,PHI,DAL,FA,,,,,,,,,,,,,,,,0.0
Stephen Carlson TE - CHI,Stephen Carlson,TE,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Conklin TE - NYJ,Tyler Conklin,TE,NYJ,@GB,FA,,,,,1.0,,1.0,16.0,,,,,,,,0.0
Tanner Conner TE - MIA,Tanner Conner,TE,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Dominique Dafney TE Q,Dominique Dafney TE,Q,,@PIT,FA,,,,,,,,,,,,,,,,0.0
Tyler Davis TE - GB IR,Tyler Davis,TE,GB,NYJ,W (Oct 4),,,,,,,,,,,,,,,,0.0
Derrick Deese Jr. TE,Derrick Deese Jr.,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Josiah Deguara TE - GB,Josiah Deguara,TE,GB,NYJ,W (Oct 4),,,,,,,1.0,9.0,,,,,,,,0.0
Brandon Dillon TE - WAS IR,Brandon Dillon,TE,WAS,Bye,FA,,,,,,,,,,,,,,,,0.0
Will Dissly TE - SEA Q View News,Will Dissly,TE,SEA,ARI,FA,,,,,,,1.0,12.0,,,,,,,,0.0
Greg Dulcich TE - DEN IR,Greg Dulcich,TE,DEN,@LAC,FA,,,,,,,2.0,44.0,1.0,,,,,,,0.0
Payne Durham TE - TB,Payne Durham,TE,TB,Bye,FA,,,,,,,,,,,,,,,,0.0
Ross Dwelley TE - SF,Ross Dwelley,TE,SF,@ATL,FA,,,,,,,,,,,,,,,,0.0
Ben Ellefson TE,Ben Ellefson,TE,,@MIA,FA,,,,,,,,,,,,,,,,0.0
Evan Engram TE - JAX,Evan Engram,TE,JAX,@IND,Washington Fantasy Team,,,,,,,5.0,40.0,,,,,,,,0.0
Zach Ertz TE - ARI,Zach Ertz,TE,ARI,@SEA,Bad Wildcats Hunschat,,,,,,,7.0,70.0,,,,,,,,0.0
Gerald Everett TE - LAC View News,Gerald Everett,TE,LAC,DEN,FA,,,,,,,5.0,29.0,,,,,,,,0.0
Michael Ezeike TE,Michael Ezeike,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Noah Fant TE - SEA,Noah Fant,TE,SEA,ARI,FA,,,,,,,6.0,45.0,,,,,,,,0.0
